Title,Year,Plot,Runtime,Genre,Imdb rating
The Night with the Masks,(1978),"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",91 min,"Horror, Thriller            ",7.7
The incredible Mr. Fox,(2009),An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,87 min,"Animation, Adventure, Comedy            ",7.9
Maids,(2011),"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",146 min,Drama            ,8.1
Youthful confusions,(1993),The adventures of high school and junior high students on the last day of school in May 1976.,103 min,Comedy            ,7.6
Christmas nightmare,(1993),"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",76 min,"Animation, Family, Fantasy            ",8
Erotic desire,(2000),"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",98 min,"Drama, Romance            ",8.1
The Iron Giant,(1999),A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,86 min,"Animation, Action, Adventure            ",8.1
The Avengers,(2012),Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,143 min,"Action, Adventure, Sci-Fi            ",8
Duel of two worlds,(1956),"A starship crew in the 23rd century goes to investigate the silence of a distant planet's colony, only to find just two survivors, a powerful robot, and the deadly secret of a lost civilization.",98 min,"Adventure, Sci-Fi            ",7.5
Wild strawberries,(1957),"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",91 min,"Drama, Romance            ",8.1
The man who killed Liberty Valance,(1962),A senator returns to a western town for the funeral of an old friend and tells the story of his origins.,123 min,"Drama, Western            ",8.1
Andaz Apna Apna,(1994),Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,160 min,"Action, Comedy, Romance            ",8
The Nauticals of the valley of the winds,(1984),Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,117 min,"Animation, Adventure, Sci-Fi            ",8
Letters from Ivo Jima,(2006),"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.",141 min,"Action, Adventure, Drama            ",7.9
Hero,(2002),"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.",120 min,"Action, Adventure, Drama            ",7.9
"Paris, Texas",(1984),"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",145 min,Drama            ,8
Fanny and Alexander,(1982),"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls.",188 min,Drama            ,8.1
Dark river,(2003),The lives of three men who were childhood friends are shattered when one of them has a family tragedy.,138 min,"Crime, Drama, Mystery            ",7.9
Baby Driver,(2017),"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",113 min,"Action, Crime, Drama            ",7.6
The raptor,(2000),"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",104 min,"Comedy, Crime            ",8.3
Warrior,(2011),"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",140 min,"Action, Drama, Sport            ",8.2
Sling Blade,(1996),"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",135 min,Drama            ,8
Underground,(1995),"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love, and hate.",170 min,"Comedy, Drama, Fantasy            ",8.1
Tearing cat,(1958),Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.,108 min,Drama            ,8
The chosen ones,(2007),"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.",115 min,"Action, Crime, Drama            ",8
V for Vendetta,(2005),"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",132 min,"Action, Drama, Sci-Fi            ",8.2
The Assassin with the Angelic Face,(1967),After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,105 min,"Crime, Drama            ",8
Spider-Man: Inside the Spider-Universe,(2018),"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",117 min,"Animation, Action, Adventure            ",8.4
"Spring, summer, autumn, winter ... and spring",(2003),A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.,103 min,"Drama, Romance            ",8
The legend of 1900,(1998),"A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.",169 min,"Drama, Music, Romance            ",8
Darbareye Elly,(2009),The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.,119 min,"Drama, Mystery            ",7.9
Adaptation.,(2002),A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.,115 min,"Comedy, Drama            ",7.7
Love Bug,(2017),"In 2002, an artistically inclined seventeen-year-old girl comes of age in Sacramento, California.",94 min,"Comedy, Drama            ",7.4
Dancing with the wolves,(1990),"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Native Americans, making him an intolerable aberration in the military.",181 min,"Adventure, Drama, Western            ",8
The Lion of Arabia,(1976),This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.,177 min,"Biography, Drama, History            ",8.1
Ριφιφί,(1955),"Four men plan a technically perfect crime, but the human element intervenes...",118 min,"Crime, Drama, Thriller            ",8.1
Logan,(2017),"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",137 min,"Action, Drama, Sci-Fi            ",8.1
The chosen ones 2,(2010),"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",115 min,"Action, Crime, Drama            ",8
All alone together,(2004),A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.,88 min,"Crime, Drama, Romance            ",7.9
Sherlock Jr.,(1924),"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",45 min,"Action, Comedy, Romance            ",8.2
The Last Trump,(1951),"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",111 min,"Drama, Film-Noir            ",8.1
On the verge of tomorrow,(2014),"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.",113 min,"Action, Adventure, Sci-Fi            ",7.9
Star Trek,(2009),The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,127 min,"Action, Adventure, Sci-Fi            ",7.9
Harry Potter and the Prisoner of Azkaban,(2004),"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",142 min,"Adventure, Family, Fantasy            ",7.9
Babi,(1942),The story of a young deer growing up in the forest.,70 min,"Animation, Adventure, Drama            ",7.3
The Thin Man,(1934),"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.",91 min,"Comedy, Mystery            ",7.9
Moon,(2009),"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.",97 min,"Drama, Mystery, Sci-Fi            ",7.8
Ta Terata,(1932),"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",64 min,"Drama, Horror            ",7.9
The twelve monkeys,(1995),"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",129 min,"Mystery, Sci-Fi, Thriller            ",8
Samsara,(I) (2011),"Filmed over nearly five years in twenty-five countries on five continents, and shot on seventy-millimetre film, Samsara transports us to the varied worlds of sacred grounds, disaster zones, industrial complexes, and natural wonders.",102 min,"Documentary, Music            ",8.4
Persepolis,(2007),A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,96 min,"Animation, Biography, Drama            ",8
"Shin seiki Evangelion Gekijô-ban: Air / Magokoro wo, kimi ni",(1997),Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).,87 min,"Animation, Action, Drama            ",8
Dead at dawn,(1987),The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.,84 min,"Comedy, Horror            ",7.7
Who trapped Roger Rabbit,(1988),A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.,104 min,"Animation, Adventure, Comedy            ",7.7
Serenity,(2005),The crew of the ship Serenity try to evade an assassin sent to recapture telepath River.,119 min,"Action, Adventure, Sci-Fi            ",7.8
The throne of blood,(1957),"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",110 min,"Drama, History            ",8.1
Monsters Inc.,(2001),"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",92 min,"Animation, Adventure, Comedy            ",8.1
Sold by her mother,(1954),"A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way.",108 min,Drama            ,8
Pink Floyd: The wall,(1982),A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,95 min,"Drama, Fantasy, Music            ",8
Mad Max 2: Avenger beyond the law,(1981),"In the post-apocalyptic Australian wasteland, a cynical drifter agrees to help a small, gasoline-rich community escape a horde of bandits.",96 min,"Action, Adventure, Sci-Fi            ",7.6
Dallas Buyers Club,(2013),"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",117 min,"Biography, Drama            ",7.9
Hibernation,(2014),A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.,196 min,Drama            ,8.1
From a machine,(2014),A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,108 min,"Drama, Sci-Fi, Thriller            ",7.7
The island of dogs,(2018),"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.",101 min,"Animation, Adventure, Comedy            ",7.8
Pirates of the Caribbean: The Curse of the Black Pearl,(2003),"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",143 min,"Action, Adventure, Fantasy            ",8
Kill Bill: Vol. 2,(2004),"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",137 min,"Action, Crime, Thriller            ",8
Hunting people,(2016),A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,101 min,"Adventure, Comedy, Drama            ",7.8
Zoo,(2016),"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",108 min,"Animation, Adventure, Comedy            ",8
The song of the sea,(2014),"Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.",93 min,"Animation, Adventure, Drama            ",8
District 9,(2009),Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,112 min,"Action, Sci-Fi, Thriller            ",7.9
The night of the living dead,(1968),A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.,96 min,"Horror, Thriller            ",7.8
How to train your dragon,(2010),"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",98 min,"Animation, Action, Adventure            ",8.1
Dangerous Mission: The Fall,(2018),"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",147 min,"Action, Adventure, Thriller            ",7.7
The mirror,(1975),"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.",107 min,"Biography, Drama            ",8
The scratching of the dead,(2004),"The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse.",99 min,"Comedy, Horror            ",7.9
Return,(2015),A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,156 min,"Action, Adventure, Drama            ",8
Shrek,(2001),"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",90 min,"Animation, Adventure, Comedy            ",7.9
Interstellar,(2014),A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,169 min,"Adventure, Drama, Sci-Fi            ",8.6
Minority Report,(2002),"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.",145 min,"Action, Crime, Mystery            ",7.7
The castle in the sky,(1986),A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,125 min,"Animation, Adventure, Family            ",8
Love with obstacles,(2017),"Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family's expectations, and his true feelings.",120 min,"Comedy, Drama, Romance            ",7.5
Cinderella,(1950),"When Cinderella's cruel stepmother prevents her from attending the Royal Ball, she gets some unexpected help from the lovable mice Gus and Jaq and from her Fairy Godmother.",74 min,"Animation, Family, Fantasy            ",7.3
My beautiful lady,(1964),"In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make crude flower girl Eliza Doolittle presentable in high society.",170 min,"Drama, Family, Musical            ",7.8
Waltz with Bashir,(2008),An Israeli film director interviews fellow veterans of the 1982 invasion of Lebanon to reconstruct his own memories of his term of service in that conflict.,90 min,"Documentary, Animation, Biography            ",8
Short Meeting,(1945),"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband.",86 min,"Drama, Romance            ",8
Kôkaku Kidôtai,(1995),A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,83 min,"Animation, Action, Crime            ",7.9
