Title,Year,Plot,Runtime,Genre,Imdb rating
Happiness days,(1978),A hot-tempered farm laborer convinces the woman he loves to marry their rich but dying boss so that they can have a claim to his fortune.,94 min,"Drama, Romance            ",7.8
Braveheart,(1995),Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,178 min,"Biography, Drama, History            ",8.4
Harry Potter and the Deathly Hallows: Part 2,(2011),"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",130 min,"Adventure, Fantasy, Mystery            ",8.1
The room,(I) (2015),"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",118 min,"Drama, Thriller            ",8.1
"Django, the punisher",(2012),"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",165 min,"Drama, Western            ",8.4
The beginner,(1998),"A teenager at Rushmore Academy falls for a much older teacher and befriends a middle-aged industrialist. Later, he finds out that his love interest and his friend are having an affair, which prompts him to begin a vendetta.",93 min,"Comedy, Drama, Romance            ",7.6
Run!,(I) (2017),"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",104 min,"Horror, Mystery, Thriller            ",7.7
Scarface,(1983),"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",170 min,"Crime, Drama            ",8.3
Glorious Bastards,(2009),"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",153 min,"Adventure, Drama, War            ",8.3
Drive,(I) (2011),"An action drama about a mysterious Hollywood stuntman and mechanic who moonlights as a getaway driver, and finds himself in trouble when he helps out his neighbor.",100 min,"Action, Drama            ",7.8
Star Wars: The power is awakening,(2015),"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",138 min,"Action, Adventure, Sci-Fi            ",7.9
The seventh seal,(1957),"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",96 min,"Drama, Fantasy            ",8.1
The Maid,(2016),"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",145 min,"Drama, Romance, Thriller            ",8.1
Live broadcast,(1998),An insurance salesman discovers his whole life is actually a reality TV show.,103 min,"Comedy, Drama            ",8.2
Mulholland Street,(2001),"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",147 min,"Drama, Mystery, Thriller            ",7.9
A Prophet ... But what a Prophet!,(1979),"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",94 min,Comedy            ,8
The Exorcist,(1973),"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her.",122 min,Horror            ,8.1
Aladdin,(1992),A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,90 min,"Animation, Adventure, Comedy            ",8
The Wolf of Wall Street,(2013),"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",180 min,"Biography, Comedy, Crime            ",8.2
