Title,Year,Plot,Runtime,Genre,Imdb rating
Visit to Tokyo,(1953),"An old couple visit their children and grandchildren in the city, but receive little attention.",136 min,Drama            ,8.2
The Last Show,(1971),"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.",118 min,"Drama, Romance            ",8
The grapes of Wrath,(1940),"An Oklahoma family driven off their farm by the poverty and hopelessness of the Dust Bowl joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",129 min,Drama            ,8.1
Shadows and silence,(1962),"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a black man against an undeserved rape charge, and his children against prejudice.",129 min,"Crime, Drama            ",8.3
"America, the country of freedom",(1939),"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.",129 min,"Comedy, Drama            ",8.1
The Day Career of Terror,(1953),"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",131 min,"Adventure, Drama, Thriller            ",8.2
"Patton, the legend of Normandy",(1970),The World War II phase of the career of controversial American general George S. Patton.,172 min,"Biography, Drama, War            ",8
Holidays in Rome,(1953),A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,118 min,"Comedy, Romance            ",8
The Train Will Whistle Three Times,(1952),"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train.",85 min,"Drama, Thriller, Western            ",8
Hell love,(1944),"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.",107 min,"Crime, Drama, Film-Noir            ",8.3
Forrest Gump,(1994),"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",142 min,"Drama, Romance            ",8.8
Silence of the Lambs,(1991),"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",118 min,"Crime, Drama, Thriller            ",8.6
There will be blood,(2007),"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",158 min,Drama            ,8.2
Too hard to die,(1988),An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,132 min,"Action, Thriller            ",8.2
Fargo,(1996),Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,98 min,"Crime, Thriller            ",8.1
American Beauty,(1999),A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,122 min,Drama            ,8.4
The Matrix,(1999),"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",136 min,"Action, Sci-Fi            ",8.7
The bridge over the river Kwai,(1957),"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",161 min,"Adventure, Drama, War            ",8.2
The best years of our lives,(1946),"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",170 min,"Drama, Romance, War            ",8.1
Roma,(2018),A year in the life of a middle-class family's maid in Mexico City in the early 1970s.,135 min,Drama            ,7.7
The great sinner,(1949),A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,114 min,"Action, Crime, Drama            ",8.1
